items_str,support,length
"arrows, goblin-giant-ev1, pekka-ev1, rage",0.0766935050993022,4
"bomber, goblin-giant-ev1, pekka-ev1, rage",0.07461084272678475,4
"arrows, bomber, goblin-giant-ev1, rage",0.07330112721417069,4
"arrows, bomber, goblin-giant-ev1, pekka-ev1",0.07325818572195383,4
"arrows, bomber, pekka-ev1, rage",0.07300053676865272,4
"goblin-curse, goblin-giant-ev1, pekka-ev1, rage",0.07216317767042404,4
"goblin-giant-ev1, goblin-machine, pekka-ev1, rage",0.07160493827160494,4
"arrows, goblin-curse, goblin-giant-ev1, rage",0.0707890499194847,4
"goblin-curse, goblin-machine, pekka-ev1, rage",0.07066022544283414,4
"arrows, goblin-curse, goblin-giant-ev1, pekka-ev1",0.07063875469672572,4
"arrows, goblin-curse, pekka-ev1, rage",0.07063875469672572,4
"goblin-curse, goblin-giant-ev1, goblin-machine, rage",0.07057434245840043,4
"goblin-curse, goblin-giant-ev1, goblin-machine, pekka-ev1",0.07044551798174986,4
"arrows, goblin-curse, goblin-machine, rage",0.07029522275899087,4
"arrows, goblin-machine, pekka-ev1, rage",0.07025228126677402,4
"arrows, goblin-giant-ev1, goblin-machine, rage",0.07020933977455716,4
"arrows, goblin-giant-ev1, goblin-machine, pekka-ev1",0.07018786902844874,4
"arrows, goblin-curse, goblin-giant-ev1, goblin-machine",0.06924315619967794,4
"bomber, goblin-curse, goblin-giant-ev1, pekka-ev1",0.0691358024691358,4
"arrows, goblin-curse, goblin-machine, pekka-ev1",0.06902844873859366,4
"bomber, goblin-curse, pekka-ev1, rage",0.06902844873859366,4
"bomber, goblin-curse, goblin-giant-ev1, rage",0.06898550724637681,4
"bomber, goblin-giant-ev1, goblin-machine, pekka-ev1",0.06864197530864198,4
"bomber, goblin-machine, pekka-ev1, rage",0.06847020933977456,4
"bomber, goblin-giant-ev1, goblin-machine, rage",0.06838432635534085,4
"goblin-giant-ev1, mega-minion, pekka-ev1, rage",0.06825550187869028,4
"arrows, goblin-giant-ev1, mega-minion, rage",0.0678690284487386,4
"arrows, bomber, goblin-curse, goblin-giant-ev1",0.06765432098765432,4
"arrows, bomber, goblin-curse, pekka-ev1",0.06765432098765432,4
"bomber, goblin-curse, goblin-giant-ev1, goblin-machine",0.06765432098765432,4
"bomber, goblin-curse, goblin-machine, pekka-ev1",0.06761137949543747,4
"goblin-curse, goblin-giant-ev1, mega-minion, rage",0.06746108427267848,4
"bomber, goblin-curse, goblin-machine, rage",0.06735373054213634,4
"arrows, bomber, goblin-curse, rage",0.06722490606548577,4
"arrows, goblin-giant-ev1, mega-minion, pekka-ev1",0.06718196457326892,4
"arrows, bomber, goblin-giant-ev1, goblin-machine",0.06711755233494364,4
"arrows, bomber, goblin-machine, pekka-ev1",0.06709608158883522,4
"arrows, mega-minion, pekka-ev1, rage",0.06705314009661836,4
