items_str,support,length
"arrows, goblin-giant-ev1, pekka-ev1, rage",0.08060118089103596,4
"bomber, goblin-giant-ev1, pekka-ev1, rage",0.07823939881910896,4
"arrows, bomber, goblin-giant-ev1, rage",0.077638217928073,4
"arrows, bomber, goblin-giant-ev1, pekka-ev1",0.07735909822866345,4
"arrows, bomber, pekka-ev1, rage",0.07697262479871175,4
"goblin-curse, goblin-giant-ev1, pekka-ev1, rage",0.0751905528717123,4
"goblin-giant-ev1, goblin-machine, pekka-ev1, rage",0.07415995705850778,4
"arrows, goblin-curse, goblin-giant-ev1, rage",0.07413848631239936,4
"arrows, goblin-curse, goblin-giant-ev1, pekka-ev1",0.07407407407407407,4
"arrows, goblin-curse, pekka-ev1, rage",0.07370907139023081,4
"goblin-curse, goblin-giant-ev1, goblin-machine, rage",0.07353730542136339,4
"goblin-curse, goblin-giant-ev1, goblin-machine, pekka-ev1",0.0733870101986044,4
"arrows, goblin-giant-ev1, goblin-machine, pekka-ev1",0.07327965646806227,4
"arrows, goblin-giant-ev1, goblin-machine, rage",0.07325818572195383,4
"goblin-curse, goblin-machine, pekka-ev1, rage",0.0731508319914117,4
"arrows, goblin-machine, pekka-ev1, rage",0.07304347826086957,4
"arrows, goblin-curse, goblin-machine, rage",0.07278582930756844,4
"arrows, goblin-curse, goblin-giant-ev1, goblin-machine",0.07239935587761674,4
"arrows, goblin-giant-ev1, mega-minion, rage",0.07233494363929147,4
"bomber, goblin-curse, goblin-giant-ev1, pekka-ev1",0.07224906065485776,4
"goblin-giant-ev1, mega-minion, pekka-ev1, rage",0.07224906065485776,4
"bomber, goblin-curse, goblin-giant-ev1, rage",0.07207729468599033,4
"arrows, goblin-curse, goblin-machine, pekka-ev1",0.07205582393988191,4
"bomber, goblin-curse, pekka-ev1, rage",0.07175523349436393,4
"bomber, goblin-giant-ev1, goblin-machine, pekka-ev1",0.07147611379495437,4
"arrows, goblin-giant-ev1, mega-minion, pekka-ev1",0.0714117015566291,4
"bomber, goblin-giant-ev1, goblin-machine, rage",0.07121846484165324,4
"arrows, mega-minion, pekka-ev1, rage",0.07106816961889426,4
"bomber, goblin-machine, pekka-ev1, rage",0.07106816961889426,4
"arrows, bomber, goblin-curse, goblin-giant-ev1",0.0710252281266774,4
"goblin-curse, goblin-giant-ev1, mega-minion, rage",0.07096081588835212,4
"arrows, bomber, goblin-curse, pekka-ev1",0.07093934514224369,4
"bomber, goblin-curse, goblin-giant-ev1, goblin-machine",0.07053140096618357,4
"arrows, bomber, goblin-curse, rage",0.07048845947396672,4
"arrows, bomber, goblin-giant-ev1, goblin-machine",0.07044551798174986,4
"arrows, bomber, goblin-machine, pekka-ev1",0.0703166935050993,4
"bomber, goblin-curse, goblin-machine, pekka-ev1",0.0703166935050993,4
"goblin-curse, goblin-giant-ev1, mega-minion, pekka-ev1",0.07025228126677402,4
"bomber, goblin-curse, goblin-machine, rage",0.07005904455179818,4
"goblin-giant-ev1, goblin-machine, mega-minion, rage",0.07005904455179818,4
"goblin-giant-ev1, goblin-machine, mega-minion, pekka-ev1",0.07003757380568974,4
"arrows, bomber, goblin-machine, rage",0.06995169082125603,4
"bomber, goblin-giant-ev1, mega-minion, rage",0.06993022007514761,4
"goblin-curse, mega-minion, pekka-ev1, rage",0.06988727858293076,4
"bomber, goblin-giant-ev1, mega-minion, pekka-ev1",0.06982286634460548,4
"goblin-machine, mega-minion, pekka-ev1, rage",0.06975845410628019,4
"arrows, goblin-curse, goblin-giant-ev1, mega-minion",0.06954374664519591,4
"arrows, goblin-giant-ev1, goblin-machine, mega-minion",0.06939345142243693,4
"goblin-curse, goblin-giant-ev1, goblin-machine, mega-minion",0.06935050993022007,4
"bomber, mega-minion, pekka-ev1, rage",0.06932903918411165,4
"arrows, bomber, goblin-curse, goblin-machine",0.06915727321524423,4
"arrows, goblin-curse, mega-minion, pekka-ev1",0.06909286097691895,4
"arrows, goblin-machine, mega-minion, pekka-ev1",0.0690499194847021,4
"arrows, goblin-curse, mega-minion, rage",0.06902844873859366,4
"goblin-curse, goblin-machine, mega-minion, rage",0.06902844873859366,4
"arrows, goblin-machine, mega-minion, rage",0.06896403650026839,4
"goblin-curse, goblin-machine, mega-minion, pekka-ev1",0.06896403650026839,4
"arrows, bomber, goblin-giant-ev1, mega-minion",0.06885668276972624,4
"arrows, bomber, mega-minion, pekka-ev1",0.0686634460547504,4
"arrows, bomber, mega-minion, rage",0.06838432635534085,4
"arrows, goblin-curse, goblin-machine, mega-minion",0.06819108964036501,4
"bomber, goblin-curse, goblin-giant-ev1, mega-minion",0.06782608695652174,4
"bomber, goblin-giant-ev1, goblin-machine, mega-minion",0.06780461621041331,4
"bomber, goblin-machine, mega-minion, pekka-ev1",0.06765432098765432,4
"bomber, goblin-curse, mega-minion, pekka-ev1",0.06754696725711218,4
"bomber, goblin-curse, mega-minion, rage",0.06733225979602792,4
