antecedents_str,consequents_str,support,confidence,lift,leverage,conviction,antecedent_support,consequent_support
"giant, graveyard",OUTCOME=LOSS,0.01075684380032206,0.6242990654205607,1.2485981308411214,0.002141706924315619,1.3308457711442785,0.017230273752012883,0.5
"arrows, giant, graveyard",OUTCOME=LOSS,0.010359634997316156,0.6221792392005158,1.2443584784010315,0.0020343531937734825,1.3233788395904436,0.016650563607085347,0.5
"giant, giant-snowball-ev1",OUTCOME=LOSS,0.010080515297906602,0.6214427531436134,1.2428855062872268,0.0019699409554482013,1.3208041958041954,0.0162211486849168,0.5
"arrows, giant-snowball-ev1, graveyard",OUTCOME=LOSS,0.010209339774557166,0.6187378009108654,1.2374756018217308,0.0019592055823939893,1.3114334470989764,0.016500268384326354,0.5
"arrows, witch-ev1",OUTCOME=LOSS,0.016618357487922706,0.6164874551971327,1.2329749103942653,0.0031400966183574887,1.3037383177570094,0.026956521739130435,0.5
"arrows, minions",OUTCOME=LOSS,0.011089640365002684,0.6159809183064997,1.2319618366129994,0.0020880300590445516,1.3020186335403727,0.018003220611916265,0.5
"arrows, bowler, graveyard",OUTCOME=LOSS,0.010069779924852388,0.6146788990825688,1.2293577981651376,0.0018786902844873856,1.2976190476190474,0.016382179280730005,0.5
"bowler, giant",OUTCOME=LOSS,0.010134192163177671,0.6125892277741727,1.2251784555483454,0.0018625872249060666,1.2906197654941376,0.01654320987654321,0.5
"arrows, giant-snowball-ev1, guards",OUTCOME=LOSS,0.011808910359634998,0.6094182825484765,1.218836565096953,0.002120236178207193,1.2801418439716314,0.01937734836285561,0.5
"giant-snowball-ev1, graveyard",OUTCOME=LOSS,0.010874932903918411,0.6076784643071386,1.2153569286142771,0.0019269994632313478,1.2744648318042813,0.017895866881374126,0.5
"bowler, graveyard, guards",OUTCOME=LOSS,0.010585077831454643,0.6056511056511056,1.2113022113022112,0.0018464841653247441,1.2679127725856696,0.017477187332259798,0.5
"arrows, giant-snowball-ev1",OUTCOME=LOSS,0.013698336017176597,0.6056003796867584,1.2112007593735168,0.0023886205045625334,1.2677496991576414,0.022619431025228127,0.5
"arrows, graveyard",OUTCOME=LOSS,0.012034353193773484,0.6046386192017261,1.2092772384034522,0.0020826623725174465,1.264665757162347,0.019903381642512076,0.5
firecracker,OUTCOME=LOSS,0.011873322597960279,0.6020685900925422,1.2041371801850844,0.0020128824476650566,1.256497948016416,0.019720880300590445,0.5
"elixir-golem, goblin-machine, rage",OUTCOME=LOSS,0.011626409017713366,0.599004424778761,1.198008849557522,0.0019216317767042409,1.246896551724138,0.01940955448201825,0.5
"giant, guards",OUTCOME=LOSS,0.011755233494363929,0.5980338612779901,1.1960677225559802,0.001926999463231346,1.243885869565217,0.019656468062265165,0.5
"elixir-golem, rage",OUTCOME=LOSS,0.015276435856146001,0.5961457896941768,1.1922915793883535,0.0024637681159420284,1.238070539419087,0.025625335480407945,0.5
"arrows, elixir-golem, rage",OUTCOME=LOSS,0.012367149758454106,0.5947341249354672,1.1894682498709344,0.0019699409554482013,1.2337579617834393,0.02079441760601181,0.5
"elixir-golem, night-witch, rage",OUTCOME=LOSS,0.012603327965646807,0.5947315096251267,1.1894630192502533,0.0020075147611379497,1.2337500000000001,0.021191626409017714,0.5
"elixir-golem, goblin-machine, skeleton-king",OUTCOME=LOSS,0.01037037037037037,0.5937307928703134,1.1874615857406268,0.0016371443907675781,1.2307110438729196,0.017466451959205584,0.5
"elixir-golem, night-witch",OUTCOME=LOSS,0.014492753623188406,0.5936675461741425,1.187335092348285,0.002286634460547504,1.2305194805194806,0.024412238325281804,0.5
"elixir-golem, goblin-machine",OUTCOME=LOSS,0.013247450348899624,0.5932692307692308,1.1865384615384615,0.0020826623725174447,1.2293144208037825,0.022329575952764358,0.5
"night-witch, rage",OUTCOME=LOSS,0.012893183038110574,0.5927936821322803,1.1855873642645607,0.0020182501341921635,1.2278787878787878,0.021749865807836822,0.5
"arrows, night-witch, rage",OUTCOME=LOSS,0.011014492753623189,0.5923787528868361,1.1847575057736721,0.0017176596886741818,1.226628895184136,0.018593666129898014,0.5
"arrows, elixir-golem, night-witch",OUTCOME=LOSS,0.012345679012345678,0.5915637860082303,1.1831275720164607,0.0019108964036500253,1.224181360201511,0.020869565217391306,0.5
"bowler, graveyard",OUTCOME=LOSS,0.012807300053676866,0.5914724838869608,1.1829449677739217,0.001980676328502415,1.2239077669902914,0.0216532474503489,0.5
"arrows, elixir-golem, goblin-machine",OUTCOME=LOSS,0.010789049919484702,0.5897887323943662,1.1795774647887325,0.0016425120772946868,1.218884120171674,0.01829307568438003,0.5
elixir-golem,OUTCOME=LOSS,0.02038647342995169,0.5897515527950311,1.1795031055900622,0.003102522812667742,1.218773656320969,0.0345679012345679,0.5
"elixir-golem, goblin-machine, night-witch",OUTCOME=LOSS,0.010971551261406334,0.5897287939988459,1.1794575879976918,0.0016693505099302196,1.2187060478199718,0.018604401502952228,0.5
bats,OUTCOME=LOSS,0.014138486312399355,0.5892617449664429,1.1785234899328858,0.002141706924315619,1.2173202614379084,0.023993558776167472,0.5
"goblin-machine, night-witch, rage",OUTCOME=LOSS,0.010069779924852388,0.5880877742946709,1.1761755485893417,0.0015083199141170157,1.2138508371385084,0.017122920021470745,0.5
"elixir-golem, rage, skeleton-king",OUTCOME=LOSS,0.011014492753623189,0.5879656160458453,1.1759312320916906,0.0016478797638217937,1.2134909596662031,0.01873322597960279,0.5
