antecedents_str,consequents_str,support,confidence,lift,leverage,conviction,antecedent_support,consequent_support
"sparky, zap-ev1",OUTCOME=WIN,0.018024691358024692,0.5932862190812721,1.1865724381625442,0.0028341384863124,1.2293657688966118,0.030381105743424584,0.5
"dark-prince, sparky, zap-ev1",OUTCOME=WIN,0.015308641975308642,0.592931392931393,1.185862785862786,0.0023993558776167472,1.2282941777323801,0.02581857219538379,0.5
"goblin-giant-ev1, sparky, zap-ev1",OUTCOME=WIN,0.016714975845410627,0.5902198635329795,1.180439727065959,0.002555018786902844,1.2201665124884367,0.028319914117015565,0.5
"heal-spirit, sparky, zap-ev1",OUTCOME=WIN,0.011175523349436393,0.5901360544217688,1.1802721088435375,0.001706924315619968,1.2199170124481329,0.01893719806763285,0.5
"electro-wizard, sparky, zap-ev1",OUTCOME=WIN,0.01140096618357488,0.5893451720310766,1.1786903440621532,0.0017283950617283956,1.2175675675675677,0.019345142243692968,0.5
"dark-prince, heal-spirit, zap-ev1",OUTCOME=WIN,0.010166398282340311,0.5892968263845675,1.178593652769135,0.0015405260332796555,1.2174242424242423,0.01725174449812131,0.5
"rage, sparky, zap-ev1",OUTCOME=WIN,0.016027911969940956,0.5891870560378848,1.1783741120757696,0.0024261943102522818,1.2170989433237274,0.02720343531937735,0.5
"goblin-giant-ev1, heal-spirit, zap-ev1",OUTCOME=WIN,0.010735373054213635,0.5885815185403178,1.1771630370806356,0.0016156736446591522,1.2153075822603718,0.018239398819108965,0.5
"dark-prince, goblin-giant-ev1, zap-ev1",OUTCOME=WIN,0.015566290928609769,0.588474025974026,1.176948051948052,0.002340311325818571,1.2149901380670611,0.026451959205582395,0.5
"electro-wizard, goblin-giant-ev1, zap-ev1",OUTCOME=WIN,0.011207729468599034,0.5878378378378378,1.1756756756756757,0.0016747181964573265,1.2131147540983607,0.019066022544283415,0.5
"dart-goblin-ev1, goblin-barrel-ev1, ice-spirit",OUTCOME=WIN,0.012474503488996242,0.5874620829120323,1.1749241658240646,0.001857219538378958,1.2120098039215683,0.02123456790123457,0.5
"dark-prince, electro-wizard, zap-ev1",OUTCOME=WIN,0.010864197530864197,0.5866666666666667,1.1733333333333333,0.0016049382716049384,1.2096774193548387,0.018518518518518517,0.5
"goblin-giant-ev1, rage, zap-ev1",OUTCOME=WIN,0.01642512077294686,0.5864315829819855,1.172863165963971,0.002420826623725175,1.2089898053753478,0.02800858829844337,0.5
"goblin-giant-ev1, zap-ev1",OUTCOME=WIN,0.01755233494363929,0.5862316242380782,1.1724632484761564,0.0025818572195383787,1.2084055459272098,0.029940955448201825,0.5
"elite-barbarians, goblin-giant-ev1, zap-ev1",OUTCOME=WIN,0.010016103059581321,0.5856873822975519,1.1713747645951038,0.0014653784219001622,1.2068181818181822,0.017101449275362317,0.5
"elite-barbarians, sparky, zap-ev1",OUTCOME=WIN,0.010016103059581321,0.5856873822975519,1.1713747645951038,0.0014653784219001622,1.2068181818181822,0.017101449275362317,0.5
"dark-prince, rage, zap-ev1",OUTCOME=WIN,0.015136876006441223,0.5848195769390294,1.1696391538780588,0.002195383789586688,1.2042957042957043,0.02588298443370907,0.5
"electro-wizard, heal-spirit, zap-ev1",OUTCOME=WIN,0.010016103059581321,0.5845864661654135,1.169172932330827,0.0014492753623188415,1.2036199095022624,0.01713365539452496,0.5
"electro-wizard, rage, zap-ev1",OUTCOME=WIN,0.010864197530864197,0.5839584535487593,1.1679169070975186,0.0015619967793880831,1.2018030513176141,0.018604401502952228,0.5
"electro-wizard, zap-ev1",OUTCOME=WIN,0.012979066022544283,0.5837759536455818,1.1675519072911635,0.0018625872249060649,1.2012761020881668,0.022232957595276437,0.5
"elite-barbarians, heal-spirit",OUTCOME=WIN,0.01166935050993022,0.582529474812433,1.165058949624866,0.0016532474503488988,1.1976893453145057,0.020032206119162642,0.5
"dark-prince, zap-ev1",OUTCOME=WIN,0.01801395598497048,0.582032604925425,1.16406520985085,0.002538915727321525,1.1962655601659753,0.030950080515297906,0.5
"dark-prince, heal-spirit, sparky",OUTCOME=WIN,0.010284487385936661,0.5809581564584597,1.1619163129169194,0.0014331723027375207,1.1931982633863967,0.01770263016639828,0.5
"elite-barbarians, heal-spirit, rage",OUTCOME=WIN,0.010724637681159421,0.5804764671702498,1.1609529343404996,0.001486849168008588,1.1918282548476453,0.018475577026301666,0.5
"heal-spirit, sparky",OUTCOME=WIN,0.011841116478797637,0.5796111403047819,1.1592222806095638,0.0016264090177133643,1.1893749999999998,0.020429414922168546,0.5
