battle_id,game_result,player_1_deck,player_2_deck,player_1_stats,player_2_stats
battle_1748848596.0,3-0,"['zap-ev1', 'goblin-giant-ev1', 'sparky', 'dark-prince', 'elite-barbarians', 'electro-wizard', 'heal-spirit', 'rage']","['pekka-ev1', 'goblin-giant-ev1', 'rage', 'arrows', 'mega-minion', 'bomber', 'goblin-machine', 'goblin-curse']","{'avg_elixir': 3.9, 'four_card_cycle': 9.0, 'elixir_leaked': 2.55, 'tower_hp': 9308}","{'avg_elixir': 3.8, 'four_card_cycle': 9.0, 'elixir_leaked': 3.92, 'tower_hp': 0}"
battle_1748848272.0,1-0,"['goblin-barrel-ev1', 'dart-goblin-ev1', 'fire-spirit', 'skeletons', 'cannon', 'ice-spirit', 'the-log', 'ice-golem']","['royal-recruits-ev1', 'firecracker-ev1', 'royal-delivery', 'goblin-gang', 'mighty-miner', 'wall-breakers', 'skeleton-barrel', 'arrows']","{'avg_elixir': 2.0, 'four_card_cycle': 5.0, 'elixir_leaked': 0.04, 'tower_hp': 9415}","{'avg_elixir': 3.5, 'four_card_cycle': 11.0, 'elixir_leaked': 0.41, 'tower_hp': 5811}"
battle_1748847442.0,2-1,"['valkyrie-ev1', 'bomber-ev1', 'arrows', 'skeleton-dragons', 'lava-hound', 'lightning', 'inferno-dragon', 'guards']","['bomber-ev1', 'cannon-ev1', 'knight', 'lightning', 'electro-giant', 'tornado', 'phoenix', 'bowler']","{'avg_elixir': 4.1, 'four_card_cycle': 12.0, 'elixir_leaked': 3.41, 'tower_hp': 7364}","{'avg_elixir': 4.1, 'four_card_cycle': 11.0, 'elixir_leaked': 0.18, 'tower_hp': 4341}"
battle_1748847360.0,3-1,"['pekka-ev1', 'goblin-giant-ev1', 'fisherman', 'skeletons', 'lightning', 'bomber', 'arrows', 'rage']","['royal-giant-ev1', 'hunter-ev1', 'royal-ghost', 'fisherman', 'lightning', 'skeletons', 'electro-spirit', 'the-log']","{'avg_elixir': 3.8, 'four_card_cycle': 8.0, 'elixir_leaked': 7.03, 'tower_hp': 6517}","{'avg_elixir': 3.3, 'four_card_cycle': 7.0, 'elixir_leaked': 3.85, 'tower_hp': 0}"
battle_1748847177.0,1-0,"['royal-recruits-ev1', 'goblin-cage-ev1', 'firecracker', 'mighty-miner', 'arrows', 'barbarian-barrel', 'hog-rider', 'mother-witch']","['valkyrie-ev1', 'goblin-drill-ev1', 'guards', 'poison', 'ice-spirit', 'ice-wizard', 'the-log', 'goblin-hut']","{'avg_elixir': 3.9, 'four_card_cycle': 12.0, 'elixir_leaked': 5.97, 'tower_hp': 7991}","{'avg_elixir': 3.1, 'four_card_cycle': 9.0, 'elixir_leaked': 1.38, 'tower_hp': 5090}"
battle_1748847106.0,1-0,"['witch-ev1', 'ice-spirit-ev1', 'hog-rider', 'berserker', 'lightning', 'goblin-hut', 'skeletons', 'the-log']","['pekka-ev1', 'electro-dragon-ev1', 'balloon', 'lumberjack', 'barbarian-barrel', 'ice-wizard', 'tornado', 'freeze']","{'avg_elixir': 3.1, 'four_card_cycle': 6.0, 'elixir_leaked': 6.64, 'tower_hp': 10812}","{'avg_elixir': 4.1, 'four_card_cycle': 12.0, 'elixir_leaked': 4.44, 'tower_hp': 6608}"
battle_1748846810.0,3-1,"['pekka-ev1', 'goblin-giant-ev1', 'mega-minion', 'goblin-machine', 'goblin-curse', 'rage', 'arrows', 'bomber']","['mega-knight-ev1', 'wall-breakers-ev1', 'arrows', 'bandit', 'archer-queen', 'zap', 'prince', 'goblin-gang']","{'avg_elixir': 3.8, 'four_card_cycle': 9.0, 'elixir_leaked': 0.46, 'tower_hp': 5210}","{'avg_elixir': 3.8, 'four_card_cycle': 10.0, 'elixir_leaked': 0.0, 'tower_hp': 0}"
battle_1748846682.0,1-0,"['witch-ev1', 'ice-spirit-ev1', 'the-log', 'berserker', 'hog-rider', 'skeletons', 'lightning', 'goblin-hut']","['dart-goblin-ev1', 'royal-recruits-ev1', 'arrows', 'goblin-machine', 'goblinstein', 'berserker', 'goblin-demolisher', 'suspicious-bush']","{'avg_elixir': 3.1, 'four_card_cycle': 6.0, 'elixir_leaked': 0.0, 'tower_hp': 8058}","{'avg_elixir': 3.9, 'four_card_cycle': 10.0, 'elixir_leaked': 0.92, 'tower_hp': 6432}"
battle_1748846650.0,1-0,"['goblin-giant-ev1', 'pekka-ev1', 'mega-minion', 'goblin-machine', 'arrows', 'goblin-curse', 'rage', 'bomber']","['lumberjack-ev1', 'electro-dragon-ev1', 'golem', 'battle-healer', 'skeleton-dragons', 'tornado', 'barbarian-barrel', 'elixir-collector']","{'avg_elixir': 3.8, 'four_card_cycle': 9.0, 'elixir_leaked': 1.36, 'tower_hp': 9287}","{'avg_elixir': 4.5, 'four_card_cycle': 13.0, 'elixir_leaked': 0.07, 'tower_hp': 6395}"
battle_1748846494.0,1-0,"['mega-knight-ev1', 'royal-recruits-ev1', 'freeze', 'ram-rider', 'executioner', 'goblin-cage', 'arrows', 'hunter']","['royal-giant-ev1', 'hunter-ev1', 'guards', 'rage', 'electro-spirit', 'monk', 'the-log', 'fisherman']","{'avg_elixir': 4.9, 'four_card_cycle': 15.0, 'elixir_leaked': 1.34, 'tower_hp': 8930}","{'avg_elixir': 3.3, 'four_card_cycle': 8.0, 'elixir_leaked': 1.96, 'tower_hp': 7841}"
battle_1748846396.0,2-1,"['executioner-ev1', 'giant-snowball-ev1', 'ram-rider', 'boss-bandit', 'lightning', 'bandit', 'skeletons', 'barbarian-barrel']","['witch-ev1', 'royal-recruits-ev1', 'boss-bandit', 'flying-machine', 'wall-breakers', 'fisherman', 'goblin-gang', 'arrows']","{'avg_elixir': 3.8, 'four_card_cycle': 8.0, 'elixir_leaked': 0.3, 'tower_hp': 4533}","{'avg_elixir': 4.1, 'four_card_cycle': 11.0, 'elixir_leaked': 0.0, 'tower_hp': 4824}"
battle_1748846380.0,1-0,"['goblin-giant-ev1', 'pekka-ev1', 'bomber', 'mega-minion', 'goblin-machine', 'rage', 'arrows', 'goblin-curse']","['witch-ev1', 'knight-ev1', 'goblin-hut', 'barbarian-barrel', 'graveyard', 'ice-spirit', 'poison', 'spear-goblins']","{'avg_elixir': 3.8, 'four_card_cycle': 9.0, 'elixir_leaked': 2.42, 'tower_hp': 8515}","{'avg_elixir': 3.3, 'four_card_cycle': 8.0, 'elixir_leaked': 0.54, 'tower_hp': 4127}"
battle_1748846357.0,1-0,"['firecracker-ev1', 'skeletons-ev1', 'hog-rider', 'mini-pekka', 'ice-spirit', 'ice-golem', 'earthquake', 'the-log']","['lumberjack-ev1', 'executioner-ev1', 'monk', 'mini-pekka', 'tornado', 'ice-wizard', 'barbarian-barrel', 'guards']","{'avg_elixir': 2.5, 'four_card_cycle': 6.0, 'elixir_leaked': 1.68, 'tower_hp': 9562}","{'avg_elixir': 3.6, 'four_card_cycle': 11.0, 'elixir_leaked': 0.06, 'tower_hp': 6255}"
