battle_id,game_result,player_1_deck,player_2_deck,player_1_stats,player_2_stats
battle_1749025531.0,2-0,"['dart-goblin-ev1', 'wall-breakers-ev1', 'ice-spirit', 'electro-spirit', 'mighty-miner', 'suspicious-bush', 'spear-goblins', 'the-log']","['electro-dragon-ev1', 'lumberjack-ev1', 'golem', 'battle-healer', 'skeleton-dragons', 'barbarian-barrel', 'tornado', 'elixir-collector']","{'avg_elixir': 2.1, 'four_card_cycle': 6.0, 'elixir_leaked': 0.0, 'tower_hp': 10056}","{'avg_elixir': 4.5, 'four_card_cycle': 13.0, 'elixir_leaked': 0.41, 'tower_hp': 3124}"
battle_1749025397.0,2-1,"['battle-ram-ev1', 'electro-dragon-ev1', 'monk', 'bowler', 'goblins', 'ice-wizard', 'barbarian-barrel', 'tornado']","['goblin-giant-ev1', 'zap-ev1', 'mini-pekka', 'sparky', 'rage', 'mother-witch', 'mega-minion', 'dark-prince']","{'avg_elixir': 3.6, 'four_card_cycle': 10.0, 'elixir_leaked': 2.3, 'tower_hp': 4980}","{'avg_elixir': 3.9, 'four_card_cycle': 11.0, 'elixir_leaked': 10.22, 'tower_hp': 1524}"
battle_1749024452.0,1-0,"['barbarians-ev1', 'battle-ram-ev1', 'heal-spirit', 'arrows', 'elixir-collector', 'royal-ghost', 'bandit', 'archer-queen']","['pekka-ev1', 'giant-snowball-ev1', 'lightning', 'barbarian-barrel', 'baby-dragon', 'bandit', 'ram-rider', 'electro-wizard']","{'avg_elixir': 3.8, 'four_card_cycle': 10.0, 'elixir_leaked': 1.43, 'tower_hp': 6711}","{'avg_elixir': 4.1, 'four_card_cycle': 11.0, 'elixir_leaked': 2.23, 'tower_hp': 5273}"
battle_1749023974.0,3-0,"['zap-ev1', 'wizard-ev1', 'giant', 'arrows', 'sparky', 'mini-pekka', 'tornado', 'heal-spirit']","['mega-knight-ev1', 'witch-ev1', 'electro-wizard', 'ice-spirit', 'bats', 'skeletons', 'dark-prince', 'sparky']","{'avg_elixir': 3.6, 'four_card_cycle': 9.0, 'elixir_leaked': 1.03, 'tower_hp': 10360}","{'avg_elixir': 3.8, 'four_card_cycle': 8.0, 'elixir_leaked': 0.1, 'tower_hp': 0}"
battle_1749022933.0,3-1,"['goblin-giant-ev1', 'zap-ev1', 'sparky', 'mini-pekka', 'dark-prince', 'mother-witch', 'mega-minion', 'rage']","['goblin-barrel-ev1', 'dart-goblin-ev1', 'goblin-gang', 'cannon', 'princess', 'wall-breakers', 'the-log', 'mighty-miner']","{'avg_elixir': 3.9, 'four_card_cycle': 11.0, 'elixir_leaked': 0.42, 'tower_hp': 4217}","{'avg_elixir': 2.9, 'four_card_cycle': 10.0, 'elixir_leaked': 0.0, 'tower_hp': 0}"
battle_1749022764.0,1-0,"['barbarians-ev1', 'battle-ram-ev1', 'bandit', 'archer-queen', 'electro-wizard', 'arrows', 'lightning', 'royal-ghost']","['executioner-ev1', 'giant-snowball-ev1', 'boss-bandit', 'bandit', 'skeletons', 'barbarian-barrel', 'lightning', 'ram-rider']","{'avg_elixir': 4.1, 'four_card_cycle': 13.0, 'elixir_leaked': 11.73, 'tower_hp': 9190}","{'avg_elixir': 3.8, 'four_card_cycle': 8.0, 'elixir_leaked': 13.0, 'tower_hp': 6579}"
battle_1749021666.0,1-0,"['mortar-ev1', 'bats-ev1', 'miner', 'monk', 'inferno-dragon', 'bowler', 'goblin-gang', 'arrows']","['goblin-barrel-ev1', 'dart-goblin-ev1', 'the-log', 'ice-spirit', 'guards', 'goblin-hut', 'skeleton-king', 'fireball']","{'avg_elixir': 3.6, 'four_card_cycle': 11.0, 'elixir_leaked': 6.26, 'tower_hp': 6585}","{'avg_elixir': 3.0, 'four_card_cycle': 9.0, 'elixir_leaked': 3.01, 'tower_hp': 5775}"
battle_1749021283.0,1-0,"['ice-spirit-ev1', 'cannon-ev1', 'royal-delivery', 'earthquake', 'royal-hogs', 'skeletons', 'the-log', 'archer-queen']","['cannon-ev1', 'bomber-ev1', 'lightning', 'baby-dragon', 'dark-prince', 'tornado', 'skeletons', 'electro-giant']","{'avg_elixir': 2.9, 'four_card_cycle': 7.0, 'elixir_leaked': 2.55, 'tower_hp': 10131}","{'avg_elixir': 3.8, 'four_card_cycle': 9.0, 'elixir_leaked': 11.92, 'tower_hp': 7506}"
battle_1749020519.0,1-0,"['firecracker-ev1', 'royal-recruits-ev1', 'mighty-miner', 'hog-rider', 'guards', 'arrows', 'wall-breakers', 'goblin-gang']","['pekka-ev1', 'goblin-giant-ev1', 'goblin-machine', 'goblin-curse', 'rage', 'bomber', 'arrows', 'mega-minion']","{'avg_elixir': 3.6, 'four_card_cycle': 11.0, 'elixir_leaked': 0.55, 'tower_hp': 9157}","{'avg_elixir': 3.8, 'four_card_cycle': 9.0, 'elixir_leaked': 0.21, 'tower_hp': 2949}"
battle_1749020026.0,1-0,"['executioner-ev1', 'giant-snowball-ev1', 'ram-rider', 'boss-bandit', 'royal-ghost', 'lightning', 'barbarian-barrel', 'bandit']","['witch-ev1', 'ice-spirit-ev1', 'royal-hogs', 'berserker', 'lightning', 'goblin-hut', 'skeletons', 'the-log']","{'avg_elixir': 4.0, 'four_card_cycle': 10.0, 'elixir_leaked': 1.31, 'tower_hp': 8356}","{'avg_elixir': 3.3, 'four_card_cycle': 6.0, 'elixir_leaked': 0.35, 'tower_hp': 6682}"
