battle_id,game_result,player_1_deck,player_2_deck,player_1_stats,player_2_stats
battle_1749628746.0,1-0,"['mega-knight-ev1', 'firecracker-ev1', 'dart-goblin', 'knight', 'wall-breakers', 'skeleton-barrel', 'bats', 'bandit']","['dart-goblin-ev1', 'wall-breakers-ev1', 'suspicious-bush', 'fire-spirit', 'the-log', 'boss-bandit', 'ice-spirit', 'spear-goblins']","{'avg_elixir': 3.3, 'four_card_cycle': 10.0, 'elixir_leaked': 1.72, 'tower_hp': 8825}","{'avg_elixir': 2.4, 'four_card_cycle': 6.0, 'elixir_leaked': 4.04, 'tower_hp': 7418}"
battle_1749628599.0,1-0,"['goblin-barrel-ev1', 'knight-ev1', 'rocket', 'princess', 'goblin-gang', 'ice-spirit', 'the-log', 'inferno-tower']","['mega-knight-ev1', 'executioner-ev1', 'zap', 'lumberjack', 'goblin-gang', 'sparky', 'balloon', 'mini-pekka']","{'avg_elixir': 3.3, 'four_card_cycle': 9.0, 'elixir_leaked': 6.15, 'tower_hp': 8353}","{'avg_elixir': 4.5, 'four_card_cycle': 13.0, 'elixir_leaked': 1.01, 'tower_hp': 6663}"
battle_1749628572.0,1-0,"['valkyrie-ev1', 'wall-breakers-ev1', 'lightning', 'goblin-gang', 'inferno-tower', 'skeleton-army', 'skeleton-barrel', 'barbarian-barrel']","['hunter-ev1', 'royal-giant-ev1', 'the-log', 'fisherman', 'skeletons', 'royal-ghost', 'electro-spirit', 'lightning']","{'avg_elixir': 3.5, 'four_card_cycle': 10.0, 'elixir_leaked': 0.53, 'tower_hp': 9065}","{'avg_elixir': 3.3, 'four_card_cycle': 7.0, 'elixir_leaked': 4.93, 'tower_hp': 6882}"
battle_1749628008.0,1-0,"['tesla-ev1', 'giant-snowball-ev1', 'goblin-drill', 'knight', 'skeletons', 'the-log', 'goblin-demolisher', 'ice-spirit']","['skeletons-ev1', 'bats-ev1', 'barbarian-barrel', 'balloon', 'electro-spirit', 'princess', 'lumberjack', 'giant-snowball']","{'avg_elixir': 2.6, 'four_card_cycle': 6.0, 'elixir_leaked': 0.95, 'tower_hp': 9884}","{'avg_elixir': 2.5, 'four_card_cycle': 6.0, 'elixir_leaked': 1.13, 'tower_hp': 5577}"
battle_1749627198.0,3-0,"['goblin-giant-ev1', 'zap-ev1', 'sparky', 'elite-barbarians', 'dark-prince', 'electro-wizard', 'heal-spirit', 'rage']","['goblin-drill-ev1', 'dart-goblin-ev1', 'arrows', 'spear-goblins', 'fireball', 'knight', 'ice-spirit', 'bowler']","{'avg_elixir': 3.9, 'four_card_cycle': 9.0, 'elixir_leaked': 2.39, 'tower_hp': 9447}","{'avg_elixir': 3.1, 'four_card_cycle': 9.0, 'elixir_leaked': 13.2, 'tower_hp': 0}"
battle_1749626851.0,1-0,"['electro-dragon-ev1', 'bomber-ev1', 'monk', 'guards', 'ram-rider', 'tornado', 'ice-wizard', 'bowler']","['goblin-barrel-ev1', 'knight-ev1', 'princess', 'ice-spirit', 'goblin-gang', 'arrows', 'cannon', 'dart-goblin']","{'avg_elixir': 3.9, 'four_card_cycle': 11.0, 'elixir_leaked': 1.44, 'tower_hp': 6897}","{'avg_elixir': 2.8, 'four_card_cycle': 10.0, 'elixir_leaked': 0.17, 'tower_hp': 4579}"
battle_1749626674.0,1-0,"['lumberjack-ev1', 'royal-recruits-ev1', 'arrows', 'minions', 'freeze', 'goblinstein', 'inferno-dragon', 'lightning']","['knight-ev1', 'firecracker-ev1', 'the-log', 'earthquake', 'tesla', 'hog-rider', 'skeletons', 'ice-spirit']","{'avg_elixir': 4.5, 'four_card_cycle': 14.0, 'elixir_leaked': 0.05, 'tower_hp': 8005}","{'avg_elixir': 2.6, 'four_card_cycle': 7.0, 'elixir_leaked': 6.8, 'tower_hp': 7555}"
battle_1749626482.0,1-0,"['cannon-ev1', 'goblin-barrel-ev1', 'the-log', 'dart-goblin', 'knight', 'ice-spirit', 'goblin-gang', 'rocket']","['knight-ev1', 'bats-ev1', 'miner', 'poison', 'the-log', 'bomb-tower', 'suspicious-bush', 'spear-goblins']","{'avg_elixir': 3.0, 'four_card_cycle': 9.0, 'elixir_leaked': 3.77, 'tower_hp': 8225}","{'avg_elixir': 2.8, 'four_card_cycle': 8.0, 'elixir_leaked': 8.77, 'tower_hp': 5626}"
battle_1749626371.0,1-0,"['hunter-ev1', 'wall-breakers-ev1', 'the-log', 'miner', 'royal-delivery', 'poison', 'skeletons', 'fisherman']","['wall-breakers-ev1', 'dart-goblin-ev1', 'suspicious-bush', 'ice-spirit', 'the-log', 'fire-spirit', 'boss-bandit', 'spear-goblins']","{'avg_elixir': 2.8, 'four_card_cycle': 8.0, 'elixir_leaked': 0.0, 'tower_hp': 6682}","{'avg_elixir': 2.4, 'four_card_cycle': 6.0, 'elixir_leaked': 0.0, 'tower_hp': 6423}"
battle_1749626356.0,1-0,"['valkyrie-ev1', 'executioner-ev1', 'ice-spirit', 'the-log', 'rocket', 'hog-rider', 'tornado', 'goblins']","['electro-dragon-ev1', 'lumberjack-ev1', 'golem', 'battle-healer', 'elixir-collector', 'guards', 'tornado', 'baby-dragon']","{'avg_elixir': 3.4, 'four_card_cycle': 8.0, 'elixir_leaked': 7.28, 'tower_hp': 10169}","{'avg_elixir': 4.6, 'four_card_cycle': 14.0, 'elixir_leaked': 12.55, 'tower_hp': 5657}"
battle_1749626264.0,1-0,"['lumberjack-ev1', 'barbarians-ev1', 'battle-ram', 'royal-ghost', 'archer-queen', 'arrows', 'heal-spirit', 'elixir-collector']","['valkyrie-ev1', 'goblin-barrel-ev1', 'the-log', 'princess', 'cannon', 'goblin-gang', 'dart-goblin', 'wall-breakers']","{'avg_elixir': 3.9, 'four_card_cycle': 11.0, 'elixir_leaked': 2.99, 'tower_hp': 9186}","{'avg_elixir': 2.9, 'four_card_cycle': 10.0, 'elixir_leaked': 5.57, 'tower_hp': 6724}"
battle_1749626214.0,1-0,"['goblin-giant-ev1', 'pekka-ev1', 'goblin-machine', 'goblin-curse', 'mega-minion', 'bomber', 'arrows', 'rage']","['pekka-ev1', 'goblin-giant-ev1', 'goblin-machine', 'bomber', 'mega-minion', 'goblin-curse', 'arrows', 'rage']","{'avg_elixir': 3.8, 'four_card_cycle': 9.0, 'elixir_leaked': 0.79, 'tower_hp': 8336}","{'avg_elixir': 3.8, 'four_card_cycle': 9.0, 'elixir_leaked': 4.41, 'tower_hp': 3446}"
battle_1749626200.0,1-0,"['barbarians-ev1', 'battle-ram-ev1', 'bandit', 'archer-queen', 'heal-spirit', 'elixir-collector', 'arrows', 'royal-ghost']","['wall-breakers-ev1', 'dart-goblin-ev1', 'ice-spirit', 'fire-spirit', 'spear-goblins', 'boss-bandit', 'the-log', 'suspicious-bush']","{'avg_elixir': 3.8, 'four_card_cycle': 10.0, 'elixir_leaked': 0.75, 'tower_hp': 8533}","{'avg_elixir': 2.4, 'four_card_cycle': 6.0, 'elixir_leaked': 3.41, 'tower_hp': 6540}"
battle_1749626099.0,1-0,"['mortar-ev1', 'barbarians-ev1', 'spear-goblins', 'goblin-gang', 'minion-horde', 'rascals', 'mother-witch', 'cannon-cart']","['lumberjack-ev1', 'barbarians-ev1', 'battle-ram', 'royal-ghost', 'archer-queen', 'arrows', 'heal-spirit', 'elixir-collector']","{'avg_elixir': 4.1, 'four_card_cycle': 13.0, 'elixir_leaked': 3.41, 'tower_hp': 9771}","{'avg_elixir': 3.9, 'four_card_cycle': 11.0, 'elixir_leaked': 3.46, 'tower_hp': 7134}"
